Listing Name,Price,Room Type,Reviews,Location
Brooklyn Living: WiFi & Jacuzzi!,169,Entire home/apt,18 reviews,"Bedford-Stuyvesant, Brooklyn"
Sweet Lil Williamsburg One Bedroom,162,Entire home/apt,43 reviews,"Williamsburg, Brooklyn"
Quintessential Brooklyn...!!,131,Entire home/apt,11 reviews,"Boerum Hill, Brooklyn"
Newest Building in Williamsburg #2,123,Private room,8 reviews,"Williamsburg, Brooklyn"
X-Large Fort Greene Garden Bedroom,120,Private room,8 reviews,Brooklyn
Dream Loft 10 Min to Manhattan,115,Private room,14 reviews,"Williamsburg, Brooklyn"
Bright and Beautiful Brooklyn Apt.,168,Entire home/apt,33 reviews,"Park Slope, Brooklyn"
Boerum Hill Apartment,139,Entire home/apt,8 reviews,"Flatbush, Brooklyn"
Sunny 1 bedroom apt in Boerum Hill,181,Entire home/apt,8 reviews,Brooklyn
Quiet 2 Bed Facing a Garden,157,Entire home/apt,4 reviews,Brooklyn
carriage house apartment,181,Entire home/apt,67 reviews,"Clinton Hill, Brooklyn"
Sunny 1-BR Apartment in Boerum Hill,217,Entire home/apt,66 reviews,"Boerum Hill, Brooklyn"
Great Price for Perfect Location!,69,Private room,38 reviews,"Williamsburg, Brooklyn"
Huge BR in W'Burg - pvt terrace,132,Private room,4 reviews,"Williamsburg, Brooklyn"
Private Bedroom in Luxury Apartment,108,Private room,30 reviews,"Williamsburg, Brooklyn"
Cozy KING Size Bed in Brooklyn,67,Private room,30 reviews,"Downtown Brooklyn, Brooklyn"
Park Slope Green Guest House,163,Entire home/apt,215 reviews,"Park Slope, Brooklyn"
1901 charming townhouse,266,Entire home/apt,5 reviews,"Kensington, Brooklyn"
"Sunny, Modern 1BR in Greenpoint",181,Entire home/apt,1 review,Brooklyn
Private Suite in Historic House,163,Private room,27 reviews,"Fort Greene, Brooklyn"
Beautiful new loft in greenpoint,157,Entire home/apt,13 reviews,"Greenpoint, Brooklyn"
Big Room 10 Min from Manhattan,132,Private room,3 reviews,Brooklyn
Private Room in 4Bed- Williamsburg,59,Private room,1 review,Brooklyn
Sunny Williamsburg Penthouse - 2BR,278,Entire home/apt,3 reviews,"Williamsburg, Brooklyn"
Prime Williamsburg 1 bd apartment,242,Entire home/apt,3 reviews,"Greenpoint, Brooklyn"
Great Studio in Fort Greene,181,Entire home/apt,11 reviews,"Fort Greene, Brooklyn"
"Park Slope, Brooklyn NY 8th Street",151,Entire home/apt,6 reviews,Brooklyn
The artist's house part 3,73,Private room,10 reviews,"Lefferts Garden, Brooklyn"
Large Master Bedroom - Williamsburg,91,Private room,59 reviews,"Williamsburg, Brooklyn"
Bushwick Rm w/Private Outdoor Space,82,Private room,3 reviews,Brooklyn
Boerum Hill Brownstone Garden Duplx,393,Entire home/apt,38 reviews,"Boerum Hill, Brooklyn"
Sun-filled room in Boerum Hill,73,Private room,5 reviews,Brooklyn
"Beautiful, Bright Studio-Park Slope",157,Entire home/apt,9 reviews,"Park Slope, Brooklyn"
Sunny Retreat with Roof Garden,103,Entire home/apt,94 reviews,"Bedford-Stuyvesant, Brooklyn"
Charming 1br Apt In Williamsburg!!,242,Entire home/apt,22 reviews,"Williamsburg, Brooklyn"
Large room w/ private office & bath,181,Private room,5 reviews,Brooklyn
"Budget Luxury, w/ Manhattan Views!",108,Private room,42 reviews,"Williamsburg, Brooklyn"
Modern Loft Apartment Williamsburg,212,Entire home/apt,13 reviews,"Williamsburg, Brooklyn"
"WINTER SALE. NYC, BUSHWICK LOFT!!",133,Entire home/apt,14 reviews,Brooklyn
Personal Studio in Crown Heights,96,Private room,10 reviews,"Crown Heights, Brooklyn"
Modern and well appointed-Very NYC!,54,Private room,44 reviews,"Bedford-Stuyvesant, Brooklyn"
Spacious Suite in Brownstone,108,Private room,2 reviews,Brooklyn
"Small Cozy Room, Ideal Location",85,Private room,3 reviews,"Fort Greene, Brooklyn"
Bright Peaceful 1 bedroom 2 bath,212,Entire home/apt,0 reviews,"Park Slope, Brooklyn"
East Williamsburg w/ Patio!,109,Private room,4 reviews,Brooklyn
CHEAP room in DESIGNER LOFT! NYC!,96,Private room,65 reviews,"Williamsburg, Brooklyn"
Sunny room in modern apartment,97,Private room,7 reviews,Brooklyn
Beautiful new loft in greenpoint,157,Entire home/apt,13 reviews,"Greenpoint, Brooklyn"
Beautiful Prime Williamsburg Apt,180,Entire home/apt,48 reviews,"Williamsburg, Brooklyn"
"Peace room, private bath, breakfast",97,Private room,17 reviews,Brooklyn
Authentic Artist Loft in Brooklyn,362,Entire home/apt,1 review,Brooklyn
Urban Brooklyn duplex near subway!,200,Entire home/apt,3 reviews,Brooklyn
"Comfy, convenient bedroom in Bklyn!",97,Private room,7 reviews,Brooklyn
Gorgeous Brownstone Suite,132,Private room,23 reviews,"Prospect Heights, Brooklyn"
Brooklyn Carriage House Loft,302,Entire home/apt,4 reviews,Brooklyn
Historic Park Slope Gem - 1br,212,Entire home/apt,18 reviews,"Park Slope, Brooklyn"
"1Bedroom, Seconds from L train",98,Private room,17 reviews,"Bushwick, Brooklyn"
Modern One bedroom in Williamsburg,315,Entire home/apt,7 reviews,"Greenpoint, Brooklyn"
Historic Brownstone Parlor & Garden,103,Private room,5 reviews,"Bedford-Stuyvesant, Brooklyn"
Modern Loft Apartment Williamsburg,212,Entire home/apt,13 reviews,"Williamsburg, Brooklyn"
Nov. 26- Dec 1 in Greenpoint,151,Entire home/apt,3 reviews,"Greenpoint, Brooklyn"
Sunny Elegant and Big Room!,97,Private room,4 reviews,"Bedford-Stuyvesant, Brooklyn"
Stunning Room in Brooklyn New York,133,Private room,58 reviews,"Williamsburg, Brooklyn"
Modern and well appointed-Very NYC!,54,Private room,44 reviews,"Bedford-Stuyvesant, Brooklyn"
Stunning and Modern next to Park,120,Entire home/apt,19 reviews,"Prospect Heights, Brooklyn"
Bushwick Room with great back yard,73,Private room,2 reviews,"Bushwick, Brooklyn"
