Listing Name,Price,Room Type,Reviews,Location
Williamsburg Penthouse Hideaway,91,Private room,37 reviews,"Williamsburg, Brooklyn"
Park Slope Private Room and Bath,79,Private room,23 reviews,"Park Slope, Brooklyn"
Private Room in a two bedroom apt.,97,Private room,17 reviews,Brooklyn
Urban oasis! 2 bedrooms w/ 3 patios,200,Entire home/apt,14 reviews,"Williamsburg, Brooklyn"
Large Room in Beautiful Apartment,105,Private room,22 reviews,"Greenpoint, Brooklyn"
Writer's Room - Sunny Artsy Loft,81,Private room,41 reviews,"Williamsburg, Brooklyn"
Beautiful studio in Boerum Hill #6,212,Entire home/apt,40 reviews,"Boerum Hill, Brooklyn"
Historic House in Williamsburg,132,Private room,66 reviews,"Williamsburg, Brooklyn"
Private Room - Bedford Ave. W'Burg,103,Private room,3 reviews,Brooklyn
HIP + MODERN APT IN WILLIAMSBURG!,351,Entire home/apt,19 reviews,"Williamsburg, Brooklyn"
Easy/Adorable! PrvtRm 15toManhattan,91,Private room,68 reviews,"Bedford-Stuyvesant, Brooklyn"
"Clean, bright and sunny bedroom",91,Private room,1 review,"Williamsburg, Brooklyn"
Beautiful Williamsburg loft,151,Entire home/apt,34 reviews,"Williamsburg, Brooklyn"
Large Studio Apt on Prospect Park,157,Entire home/apt,29 reviews,"Windsor Terrace, Brooklyn"
"Hip Williamsburg Loft, Graham L",79,Private room,10 reviews,"Williamsburg, Brooklyn"
Historic Brownstone Duplex,363,Entire home/apt,0 reviews,Brooklyn
Private room in artsy apt,85,Private room,21 reviews,"Clinton Hill, Brooklyn"
The Greenwood Grand - Stay Boutique,188,Entire home/apt,28 reviews,Brooklyn
Organic Modern Williamsburg loft,315,Entire home/apt,1 review,Brooklyn
Room in large Brooklyn apt by Park,103,Private room,5 reviews,Brooklyn
BKLYN Brownstone- Premiere Studio!,169,Entire home/apt,63 reviews,"Bedford-Stuyvesant, Brooklyn"
Clean&Serene in Scenic Fort Greene,139,Private room,215 reviews,"Fort Greene, Brooklyn"
Private room w/ balcony & bathroom,109,Private room,6 reviews,Brooklyn
"Private Entrance, Beautiful Garden",120,Entire home/apt,40 reviews,"Crown Heights, Brooklyn"
Quintessential W'burg Apartment,121,Private room,29 reviews,"Williamsburg, Brooklyn"
SPACIOUS GREENPOINT 1 BEDROOM,145,Entire home/apt,4 reviews,"Greenpoint, Brooklyn"
Beautiful Room 1,96,Private room,5 reviews,"Bedford-Stuyvesant, Brooklyn"
Refined Victorian 2BR Brownstone,277,Entire home/apt,3 reviews,"Clinton Hill, Brooklyn"
15 min to NYC-Cozy Brownstone Room,54,Private room,2 reviews,Brooklyn
BED+FUTON 1 - 15 MINUTES >MANHATTAN,91,Private room,14 reviews,Brooklyn
Comfortable Room available,59,Private room,6 reviews,Brooklyn
"Huge factory loft, prime location",278,Entire home/apt,36 reviews,"Williamsburg, Brooklyn"
Awesome room in Williamsburg,109,Private room,25 reviews,"Williamsburg, Brooklyn"
Luxurious Bedroom by the Park,71,Private room,76 reviews,"Kensington, Brooklyn"
Historic Bed-Stuy,109,Entire home/apt,19 reviews,"Bedford-Stuyvesant, Brooklyn"
Spacious Clinton Hill Apartment,133,Entire home/apt,23 reviews,"Clinton Hill, Brooklyn"
Charming room in Victorian home,96,Private room,50 reviews,"Bedford-Stuyvesant, Brooklyn"
Greenpoint oasis in the sky,224,Entire home/apt,2 reviews,Brooklyn
3 Bedroom Entire Williamsburg Loft,363,Entire home/apt,24 reviews,"Williamsburg, Brooklyn"
Room On Bedford/ Heart Williamsburg,120,Private room,13 reviews,"Williamsburg, Brooklyn"
A Spacious Room in A Brooklyn House,91,Private room,8 reviews,Brooklyn
Penthouse Apt in Williamsburg,133,Private room,3 reviews,"Williamsburg, Brooklyn"
Spacious Studio with Parking,96,Entire home/apt,60 reviews,"Bushwick, Brooklyn"
Nice Bedroom in Williamsburg Loft,115,Private room,5 reviews,Brooklyn
Artist Loft - King Bed w/Chandelier,82,Private room,9 reviews,"Brooklyn Navy Yard, Brooklyn"
Private Room in Modern Condo w/View,139,Private room,22 reviews,"Bedford-Stuyvesant, Brooklyn"
Studio in Downtown Brooklyn,169,Entire home/apt,15 reviews,"Downtown Brooklyn, Brooklyn"
Cozy Private Bedroom in Greenpoint,97,Private room,36 reviews,"Greenpoint, Brooklyn"
Vegetarian Artists Zen Happy Co-Op,91,Private room,0 reviews,"Williamsburg, Brooklyn"
Williamsburg - Steps from Bedford L,121,Private room,24 reviews,"Williamsburg, Brooklyn"
Lovely Bklyn Duplex w/ Courtyard,302,Entire home/apt,42 reviews,"Boerum Hill, Brooklyn"
Loft in the heart of Williamsburg,200,Entire home/apt,6 reviews,"Williamsburg, Brooklyn"
Best location in Brooklyn!,133,Private room,20 reviews,"Park Slope, Brooklyn"
Private Room in Williamsburg,121,Private room,4 reviews,Brooklyn
"Big, Sunny, Modern Apartment w/VIEW",241,Entire home/apt,36 reviews,"Williamsburg, Brooklyn"
Comfy 1BD  in amazing location!,97,Private room,13 reviews,Brooklyn
Williamsburg off Bedford L - 2,144,Private room,0 reviews,"Williamsburg, Brooklyn"
Williamsburg off Bedford L - 2,144,Private room,0 reviews,"Williamsburg, Brooklyn"
Mayor's Mansion - Carlton Suite,145,Private room,45 reviews,"Fort Greene, Brooklyn"
COMFY ROOM #1 ~ AMAZING LOCATION!,144,Private room,52 reviews,"Williamsburg, Brooklyn"
Stylish living in Williamsburg,91,Private room,19 reviews,"Williamsburg, Brooklyn"
Williamsburg/Greenpoint Bklyn 1BR,175,Entire home/apt,7 reviews,"Greenpoint, Brooklyn"
"Big sunny room, prime location!",108,Private room,11 reviews,"Williamsburg, Brooklyn"
Quirky Duplex - Historic Park Slope,109,Private room,35 reviews,"Park Slope, Brooklyn"
Stay in Cozy Clinton Hill,109,Private room,6 reviews,Brooklyn
Mid-Century Modern Garden Paradise,156,Entire home/apt,18 reviews,Brooklyn
Adorable studio in Park Slope!,194,Entire home/apt,7 reviews,"Park Slope, Brooklyn"
Beautiful & Spacious 1.5BR Apt,133,Entire home/apt,34 reviews,"Crown Heights, Brooklyn"
Loft Studio with Private Bathroom,97,Private room,73 reviews,"Bedford-Stuyvesant, Brooklyn"
Sun-filled Brooklyn Brownstone,85,Private room,1 review,"Carroll Gardens, Brooklyn"
Comfy 2 bd - 15min from Manhattan,71,Private room,2 reviews,Brooklyn
Sunny Private Williamsburg room,121,Private room,8 reviews,"Williamsburg, Brooklyn"
Private Room in Williamsburg Loft M,120,Private room,8 reviews,"Williamsburg, Brooklyn"
Charming Brooklyn Garden House,333,Entire home/apt,22 reviews,"Park Slope, Brooklyn"
2 Bedroom Bushwick Apartment,168,Entire home/apt,31 reviews,"Bushwick, Brooklyn"
"Lovely, Modern, Garden Apartment",224,Entire home/apt,7 reviews,"Gowanus, Brooklyn"
Amazing Apt! Private Rooftop Space!,272,Entire home/apt,46 reviews,"Williamsburg, Brooklyn"
"Tasteful, calm, central 2BR/2Baths",296,Entire home/apt,4 reviews,"Williamsburg, Brooklyn"
Vibrant Artist's Guest Studio Apt.,157,Entire home/apt,20 reviews,"Greenpoint, Brooklyn"
Sun Drenched Apt in Clinton Hill,139,Entire home/apt,9 reviews,"Clinton Hill, Brooklyn"
NYC Special Occasions Room #1,35,Private room,68 reviews,"Bedford-Stuyvesant, Brooklyn"
Bright Private Room with Futon,109,Private room,7 reviews,Brooklyn
Lovely Guestroom in Brownstone,79,Private room,7 reviews,"Crown Heights, Brooklyn"
Luxury Lofted Williamsburg 3bd,417,Entire home/apt,55 reviews,"Williamsburg, Brooklyn"
"PRIVATE BED, BATH, AND GARDEN!",73,Private room,49 reviews,"Bushwick, Brooklyn"
room w/ private bath - Bushwick,108,Private room,25 reviews,"Bushwick, Brooklyn"
Fabulous Industrial Dumbo Loft,151,Private room,30 reviews,"DUMBO, Brooklyn"
Newly renovated 2 Bedrooms 2 Bath,194,Entire home/apt,1 review,Brooklyn
Private Bedroom in Wooden House,109,Private room,104 reviews,"Williamsburg, Brooklyn"
Seven Days Sleep Near Prospect Park,121,Entire home/apt,19 reviews,"Lefferts Garden, Brooklyn"
Large 1.5 bedroom 1 block to subway,151,Entire home/apt,22 reviews,"Clinton Hill, Brooklyn"
New & Private Luxury Bedroom nr All,63,Private room,1 review,Brooklyn
lrg bedrm historic home 1blk PRATT,143,Private room,10 reviews,"Clinton Hill, Brooklyn"
Renovated 1BD Near Promenade & Park,230,Entire home/apt,6 reviews,Brooklyn
furnished bedroom available,54,Private room,12 reviews,"Sunset Park, Brooklyn"
Bedroom in a spacious artsy Loft  C,54,Private room,3 reviews,"Williamsburg, Brooklyn"
2BR/1BA w/ garden! in Williamsburg,181,Entire home/apt,65 reviews,"Greenpoint, Brooklyn"
Sunny Room in Bushwick,151,Private room,14 reviews,"Williamsburg, Brooklyn"
Park Slope Brooklyn 3 plus bed apt,236,Entire home/apt,23 reviews,"Park Slope, Brooklyn"
Vintage Gem with Modern Amenities,363,Entire home/apt,14 reviews,"Clinton Hill, Brooklyn"
Bohemian Paradise in Industrial BK,120,Private room,48 reviews,"Bushwick, Brooklyn"
Modern 1BR  in Trendy Williamsburg,169,Entire home/apt,11 reviews,"Williamsburg, Brooklyn"
BUDGET ROOM ~ BEST LOCATION!! #1,108,Private room,74 reviews,"Williamsburg, Brooklyn"
Brooklyn Posh Pad w Private Balcony,194,Entire home/apt,17 reviews,"Williamsburg, Brooklyn"
Cozy S. Williamsburg 1 Bed w/ Bike,224,Entire home/apt,18 reviews,"Williamsburg, Brooklyn"
1bdr w private bath. in lofty apt,152,Private room,17 reviews,"Fort Greene, Brooklyn"
Park Slope 4b Next To Prospect Park,484,Entire home/apt,10 reviews,"Park Slope, Brooklyn"
Beautiful Williamsburg Condo,200,Private room,9 reviews,"Williamsburg, Brooklyn"
Room 4 subway stops from Manhattan,97,Private room,41 reviews,"Lefferts Garden, Brooklyn"
Chic 1 Bedroom - Prospect Park,175,Entire home/apt,22 reviews,"Windsor Terrace, Brooklyn"
Nyc! Cozy room in Williamsburg,96,Private room,7 reviews,Brooklyn
Sunny Room in the heart of W'burg,79,Private room,23 reviews,"Williamsburg, Brooklyn"
"Huge factory loft, prime location",278,Entire home/apt,36 reviews,"Williamsburg, Brooklyn"
"Williamsburg room, private entrance",151,Private room,34 reviews,"Williamsburg, Brooklyn"
Williamsburg - Steps from Bedford L,121,Private room,24 reviews,"Williamsburg, Brooklyn"
Cool & Cozy Apt in Great Neighborhd,167,Entire home/apt,106 reviews,"Flatbush, Brooklyn"
Room next to the Brooklyn Museum,60,Private room,2 reviews,Brooklyn
Loft Share off Bedford in Brooklyn!,87,Private room,4 reviews,Brooklyn
Sunny duplex in trendy Brooklyn,133,Private room,4 reviews,"Crown Heights, Brooklyn"
Great Williamsburg Apt with Balcony,83,Private room,5 reviews,Brooklyn
Classic Park Slope brownstone,204,Private room,15 reviews,Brooklyn
Luxury Loft in Prospect Heights,157,Private room,25 reviews,"Prospect Heights, Brooklyn"
Brooklyn Studio On The Water,181,Entire home/apt,18 reviews,"Columbia Street Waterfront, Brooklyn"
NYC artists’ loft with roof deck,60,Private room,54 reviews,"Greenpoint, Brooklyn"
"HUGE 1b Sunny Apt; Convenient, Park",115,Entire home/apt,0 reviews,"Lefferts Garden, Brooklyn"
Fort Greene Full Apt Mansion Row,180,Entire home/apt,18 reviews,"Fort Greene, Brooklyn"
3 Bedroom Entire Williamsburg Loft,363,Entire home/apt,24 reviews,"Williamsburg, Brooklyn"
Open Design Williamsburg Loft,338,Entire home/apt,43 reviews,"Williamsburg, Brooklyn"
"Warm, light-filled home in Brooklyn",163,Entire home/apt,7 reviews,"Clinton Hill, Brooklyn"
Top Floor 2bd Luxury Brownstone Apt,260,Entire home/apt,68 reviews,"Fort Greene, Brooklyn"
Modern Williamsburg Apt near Metro,120,Private room,22 reviews,"Williamsburg, Brooklyn"
Stunning Greenpoint Penthouse,121,Private room,12 reviews,"Greenpoint, Brooklyn"
Master Bed Bushwick Vacation NYC,82,Private room,28 reviews,"Bushwick, Brooklyn"
Bright trendy Williamsburg 1BR,194,Entire home/apt,13 reviews,"Williamsburg, Brooklyn"
Whimsy Williamsburg 1BR Apartment,181,Entire home/apt,19 reviews,"Williamsburg, Brooklyn"
2BDR Apt with Stunning Roof Terrace,144,Entire home/apt,5 reviews,"Greenwood Heights, Brooklyn"
Super-Fun-TreeHouse-Loft! (Room2),109,Private room,4 reviews,Brooklyn
Garden Suite in Fort Greene,133,Entire home/apt,73 reviews,"Fort Greene, Brooklyn"
Williamsburg room(s) backyard!,79,Private room,27 reviews,"Williamsburg, Brooklyn"
One Bdrm in Trendy Prospect Hts,144,Entire home/apt,31 reviews,"Prospect Heights, Brooklyn"
Carroll Gardens Carriage House,109,Private room,27 reviews,"Gowanus, Brooklyn"
3 bedroom triplex,302,Entire home/apt,20 reviews,"Windsor Terrace, Brooklyn"
NEW MODERN LOFT 3 ON BEDFORD AVE!!!,121,Private room,28 reviews,"Williamsburg, Brooklyn"
Two comfy rooms in Park Slope,156,Private room,18 reviews,"Park Slope, Brooklyn"
NYC getaway in Park Slope Brooklyn!,103,Private room,25 reviews,"Park Slope, Brooklyn"
Spacious Guest Room in Brownstone,91,Private room,5 reviews,"Crown Heights, Brooklyn"
Private Room in WBerg Flat 4C,109,Private room,15 reviews,"Williamsburg, Brooklyn"
Lovely apartment with backyard,212,Entire home/apt,1 review,"Williamsburg, Brooklyn"
Williamsburg 1 bedroom Apartment,194,Entire home/apt,48 reviews,"Williamsburg, Brooklyn"
Private Room A in Lux Loft (3B),121,Private room,12 reviews,Brooklyn
Large apartment w/ Parking,108,Entire home/apt,32 reviews,"Bushwick, Brooklyn"
Large 1 Bedroom in Brooklyn Heights,302,Entire home/apt,2 reviews,Brooklyn
Rooftop Apt in Prospect Heights,181,Entire home/apt,2 reviews,Brooklyn
A & S Bushwick - One BR Apt.,121,Entire home/apt,18 reviews,Brooklyn
Cama Queen e casa aconchegante.,54,Private room,4 reviews,Brooklyn
Carroll Gardens Gem  -new 2 BR apt,363,Entire home/apt,21 reviews,"Carroll Gardens, Brooklyn"
Large Sunny 1BR - Entire 2nd Floor,168,Entire home/apt,57 reviews,"Greenpoint, Brooklyn"
1 Bedroom in Williamsburg Apartment,109,Private room,0 reviews,"Williamsburg, Brooklyn"
Large Bedroom with Washer/dryer,92,Private room,1 review,Brooklyn
"Bright, private Williamsburg room",80,Private room,5 reviews,Brooklyn
Sunny Room in Amazing Location,67,Private room,4 reviews,Brooklyn
Gorgeous Modern Williamsburg Loft,242,Entire home/apt,23 reviews,"Williamsburg, Brooklyn"
Boldera: Your Home Away From Home,168,Entire home/apt,43 reviews,"Bedford-Stuyvesant, Brooklyn"
Williamsburg/Greenpoint Bedroom,109,Private room,8 reviews,"Greenpoint, Brooklyn"
Cozy Private Room on a Lovely Block,73,Private room,9 reviews,"Crown Heights, Brooklyn"
"Bright, Sunny Studio in Bay Ridge",85,Entire home/apt,4 reviews,Brooklyn
Room in beautiful apartment!,91,Private room,9 reviews,"Clinton Hill, Brooklyn"
Adorable studio in Park Slope!,194,Entire home/apt,7 reviews,"Park Slope, Brooklyn"
prvt room in lrg 2BR near barclays,120,Private room,2 reviews,Brooklyn
Chic 1 Bedroom - Prospect Park,175,Entire home/apt,22 reviews,"Windsor Terrace, Brooklyn"
Loft in the heart of Williamsburg,200,Entire home/apt,6 reviews,"Williamsburg, Brooklyn"
Sun-filled Brooklyn Brownstone,85,Private room,1 review,"Carroll Gardens, Brooklyn"
Sunny Williamsburg Bridge Apartment,236,Entire home/apt,10 reviews,"Williamsburg, Brooklyn"
Chic/Modern/Spacious Entire 1BR apt,144,Entire home/apt,12 reviews,"Crown Heights, Brooklyn"
Stay with us in hip Bed-Stuy,79,Private room,10 reviews,"Bedford-Stuyvesant, Brooklyn"
Private Fl in my duplex 2bds w/bath,121,Private room,23 reviews,"Bedford-Stuyvesant, Brooklyn"
E Williamsburg Artist Retreat;White,79,Private room,51 reviews,"Bushwick, New York"
Inspiring spacious loft space,145,Private room,5 reviews,"Williamsburg, Brooklyn"
Heart of Williamsburg,83,Private room,3 reviews,"Williamsburg, Brooklyn"
furnished bedroom available,54,Private room,12 reviews,"Sunset Park, Brooklyn"
Modern Apartment with King Bed!,83,Private room,25 reviews,"Bushwick, Brooklyn"
Beautiful Light Filled Apartment!,145,Entire home/apt,41 reviews,"Bedford-Stuyvesant, Brooklyn"
Charming 2BR Williamsburg Apt,242,Entire home/apt,5 reviews,"Williamsburg, Brooklyn"
Huge Luxury Bedroom in Williamsburg,121,Private room,16 reviews,"Williamsburg, Brooklyn"
Comfortable Room Historic Mansion,109,Private room,35 reviews,"Bedford-Stuyvesant, Brooklyn"
Beautiful 2 Bedroom Apartment,224,Entire home/apt,27 reviews,"Bedford-Stuyvesant, Brooklyn"
POST CARD VIEWS of Park and Skyline,196,Entire home/apt,48 reviews,"Williamsburg, Brooklyn"
Classic Williamsburg loft bedroom,60,Private room,3 reviews,Brooklyn
Sunny Beautiful Sublet All Yours!!!,175,Entire home/apt,183 reviews,"Park Slope, Brooklyn"
"New, spacious 2BD in Williamsburg",181,Entire home/apt,9 reviews,"Williamsburg, Brooklyn"
Quiet Pre-War in Brooklyn Heights,120,Private room,19 reviews,Brooklyn
nice room in bedstuy 12,67,Private room,17 reviews,"Bedford-Stuyvesant, Brooklyn"
"Best Location, Spacious and Sunny!",105,Private room,11 reviews,"Williamsburg, Brooklyn"
Large 1BR right by Prospect Park,115,Entire home/apt,2 reviews,"Windsor Terrace, Brooklyn"
Brooklyn Artist Loft,71,Private room,11 reviews,Brooklyn
Quiet private room in Gorgeous Apt,79,Private room,46 reviews,"Bushwick, Brooklyn"
Quiet classic charmer in the trees,230,Entire home/apt,11 reviews,"Park Slope, Brooklyn"
Sunny 2BD with Library in Brooklyn,120,Entire home/apt,0 reviews,Brooklyn
Kate's Place,54,Private room,20 reviews,"Crown Heights, Brooklyn"
My living room for female guests,47,Shared room,3 reviews,"Bay Ridge, Brooklyn"
Great Large 1 Bedroom Apartment,117,Entire home/apt,11 reviews,"Crown Heights, Brooklyn"
Antique Brooklyn Loft Amazing View,93,Private room,16 reviews,"Williamsburg, Brooklyn"
NYC getaway in Park Slope Brooklyn!,103,Private room,25 reviews,"Park Slope, Brooklyn"
Lively loft II!,83,Private room,22 reviews,"Williamsburg, Brooklyn"
"COZY PRIVATE ROOM, CROWN HEIGHTS",91,Private room,46 reviews,"Crown Heights, Brooklyn"
"Bright, Airy Studio Apt",145,Entire home/apt,34 reviews,"Bedford-Stuyvesant, Brooklyn"
Quiet Pre-War in Brooklyn Heights,120,Private room,19 reviews,Brooklyn
Sunny Private Williamsburg Apt,242,Entire home/apt,15 reviews,Brooklyn
Large Room in Beautiful Apartment,105,Private room,22 reviews,"Greenpoint, Brooklyn"
Ideal Brooklyn Brownstone Apartment,200,Entire home/apt,59 reviews,"Bedford-Stuyvesant, Brooklyn"
Beautiful Spacious Accomodations!,79,Private room,94 reviews,"Flatbush, Brooklyn"
Cozy Room in Full Apartment,103,Private room,0 reviews,Brooklyn
Cozy Room on Prospect Park!,60,Private room,48 reviews,"Flatbush, Brooklyn"
Perfect NYC/Williamsburg Location,132,Private room,53 reviews,"Williamsburg, Brooklyn"
Historic Bed-Stuy,109,Entire home/apt,19 reviews,"Bedford-Stuyvesant, Brooklyn"
Brooklyn Posh Pad w Private Balcony,194,Entire home/apt,17 reviews,"Williamsburg, Brooklyn"
Spacious Studio 3 - Fort Greene,97,Private room,46 reviews,"Boerum Hill, Brooklyn"
"Warm and cozy, 20 min to Manhattan!",120,Private room,4 reviews,Brooklyn
Comfy 1BD  in amazing location!,97,Private room,13 reviews,Brooklyn
"Warm and cozy, 20 min to Manhattan!",120,Private room,4 reviews,Brooklyn
Comfy 1BD  in amazing location!,97,Private room,13 reviews,Brooklyn
Luxury Garden Brownstone Apartment,156,Entire home/apt,12 reviews,"Bedford-Stuyvesant, Brooklyn"
SUNNY BIG ROOM IN STYLISH APT,103,Private room,12 reviews,"Bedford-Stuyvesant, New York"
Private Rm in Cozy Williamsburg Apt,109,Private room,4 reviews,"Williamsburg, Brooklyn"
Large 1BR right by Prospect Park,115,Entire home/apt,2 reviews,"Windsor Terrace, Brooklyn"
Sunny and Private Apt,67,Entire home/apt,0 reviews,"Bedford-Stuyvesant, brooklyn"
Artist's Room - Sunny Artsy Loft,88,Private room,52 reviews,"Williamsburg, Brooklyn"
Charming Private Room with a View,131,Private room,19 reviews,"Williamsburg, Brooklyn"
"Comfy, Private Bedroom in Brooklyn",79,Private room,32 reviews,"East Flatbush, Brooklyn"
STUDIO DOWNTOWN BK LUXURY BUILDING,169,Entire home/apt,3 reviews,"Downtown Brooklyn, New York"
Master Bed Bushwick Vacation NYC,82,Private room,28 reviews,"Bushwick, Brooklyn"
HUGE SUNNY ROOM 1 PRIME WILLYBURG!!,121,Private room,8 reviews,Brooklyn
Beautiful apartment w/ large garden,272,Entire home/apt,2 reviews,"Cobble Hill, Brooklyn"
Gorgeous house Room 2 BEST location,111,Private room,82 reviews,"Park Slope, Brooklyn"
Private 1BR @ Spacious Sunny Duplex,65,Private room,7 reviews,Brooklyn
Private room in artsy apt,85,Private room,21 reviews,"Clinton Hill, Brooklyn"
Nice studio apartment in Brooklyn!,85,Entire home/apt,7 reviews,"Crown Heights, Brooklyn"
Penthouse 2000 sqft Duplex Downtown,605,Entire home/apt,3 reviews,Brooklyn
Private bedroom in awesome loft apt,119,Private room,13 reviews,"Williamsburg, Brooklyn"
Beautiful BUSHWICK apt. ❤️,139,Entire home/apt,10 reviews,"Bushwick, Brooklyn"
Red Hook Classic Townhouse w Garden,188,Entire home/apt,20 reviews,"Red Hook, Brooklyn"
Sunny Williamsburg Bridge Apartment,236,Entire home/apt,10 reviews,"Williamsburg, Brooklyn"
Sunny Loft 15 min. to Union Square,103,Private room,97 reviews,"Williamsburg, Brooklyn"
Cute Room In our Williamsburg Share,96,Private room,115 reviews,"Williamsburg, Brooklyn"
Spacious 1BR in Prime Fort Greene,242,Entire home/apt,7 reviews,"Fort Greene, Brooklyn"
"Charming, sunny petfriendly 2 br",121,Entire home/apt,32 reviews,"Bushwick, Brooklyn"
LOFTY Brooklyn 2BR - 10 mins to NYC,212,Entire home/apt,28 reviews,"Carroll Gardens, Brooklyn"
Prospect Heights Views & Vanderbilt,236,Entire home/apt,13 reviews,"Prospect Heights, Brooklyn"
Clean & Convenient in Brooklyn,91,Private room,8 reviews,Brooklyn
Nice Apt in HEART of Williamsburg!,163,Entire home/apt,24 reviews,"Williamsburg, Brooklyn"
Charming room in Williamsburg home,67,Private room,0 reviews,Brooklyn
Brooklyn modern 2 BR Garden Floor,224,Entire home/apt,3 reviews,Brooklyn
Spacious 1 Bedroom in Clinton Hill,175,Entire home/apt,5 reviews,"Clinton Hill, Brooklyn"
Classic Williamsburg artist loft,60,Private room,3 reviews,Brooklyn
"Charmin & clean room,5 train lines",79,Private room,1 review,Brooklyn
Bright and Energized Apt.,200,Entire home/apt,18 reviews,"Greenpoint, Brooklyn"
"Country chic bedroom, Williamsburg",121,Private room,14 reviews,"Williamsburg, Brooklyn"
Room in Bushwick/E Williamsburg,85,Private room,5 reviews,Brooklyn
YOGA 1,34,Shared room,5 reviews,Brooklyn
Comfy room and Amazing View,73,Private room,9 reviews,Brooklyn
Comforts in Bushwick Brooklyn,85,Private room,41 reviews,"Bushwick, Brooklyn"
Room in Brooklyn (Williamsburg)!,73,Private room,1 review,"Williamsburg, Brooklyn"
25 Minutes to Manhattan!!Private2BR,103,Entire home/apt,8 reviews,Brooklyn
Sunfilled Skylit Townhouse 3BD,224,Entire home/apt,65 reviews,"Clinton Hill, Brooklyn"
Small Bedroom in a large brownstone,109,Private room,24 reviews,"Prospect Heights, Brooklyn"
Adorable sunny 1 BR in Williamsburg,194,Entire home/apt,9 reviews,"Williamsburg, Brooklyn"
1b prime N Williamsburg NYC,242,Entire home/apt,4 reviews,"Williamsburg, Brooklyn"
Low Winter rates!/ Arts Loft+Office,108,Private room,88 reviews,"Williamsburg, Brooklyn"
Private room w/ breakfast-5 beds,151,Private room,11 reviews,Brooklyn
Cozy Room in Heart of Williamsburg,109,Private room,4 reviews,Brooklyn
"Minimal,Airy,Authentic Artist Loft",163,Entire home/apt,0 reviews,Brooklyn
Sunny 1br apt in Bay Ridge,79,Entire home/apt,9 reviews,Brooklyn
Palatial Brownstone w Backyard,333,Entire home/apt,12 reviews,"Bedford-Stuyvesant, Brooklyn"
Beautiful room in Park Slope loft,97,Private room,5 reviews,Brooklyn
"Private Entrance, Beautiful Garden",120,Entire home/apt,40 reviews,"Crown Heights, Brooklyn"
Boldera: Your Home Away From Home,168,Entire home/apt,43 reviews,"Bedford-Stuyvesant, Brooklyn"
Artist Loft - King Bed w/Chandelier,82,Private room,9 reviews,"Brooklyn Navy Yard, Brooklyn"
quiet+spacious in Fort Greene,91,Private room,1 review,"Fort Greene, Brooklyn"
BED+FUTON 1 - 15 MINUTES >MANHATTAN,91,Private room,14 reviews,Brooklyn
Amazing Apt! Private Rooftop Space!,272,Entire home/apt,46 reviews,"Williamsburg, Brooklyn"
Comfortable Room available,59,Private room,6 reviews,Brooklyn
Prospect Heights Beauty 1BR w/patio,163,Entire home/apt,30 reviews,"Crown Heights, Brooklyn"
Cozy Room in Heart of Williamsburg,109,Private room,4 reviews,Brooklyn
Private Room in Modern Condo w/View,139,Private room,22 reviews,"Bedford-Stuyvesant, Brooklyn"
Spacious Greenpoint loft / 2 floors,181,Entire home/apt,16 reviews,"Greenpoint, Brooklyn"
Charming Williamsburg apartment!,151,Entire home/apt,3 reviews,"Williamsburg, Brooklyn"
Quiet & Quaint Room in Bushwick,127,Private room,7 reviews,"Williamsburg, Brooklyn"
Spacious and convenient bedroom,59,Private room,0 reviews,"Crown Heights, Brooklyn"
The Stanhope: Queen Room,71,Private room,12 reviews,"Bushwick, Brooklyn"
Fabulous Family Getaway,218,Entire home/apt,8 reviews,Brooklyn
Private Room in Victorian House,91,Private room,19 reviews,"Flatbush, Brooklyn"
Private Room in Victorian House,91,Private room,19 reviews,"Flatbush, Brooklyn"
The Stanhope: Twin Room,59,Private room,31 reviews,"Bushwick, Brooklyn"
"Sunny, Large, Park Slope Bedroom",127,Private room,78 reviews,"Park Slope, Brooklyn"
A Cozy Brooklyn Garden Apartment,139,Private room,122 reviews,"Park Slope, Brooklyn"
1 BR Beautiful Central Williamsburg,145,Entire home/apt,0 reviews,Brooklyn
Cozy BR in Wiliamsburg 2 Bedroom,91,Private room,65 reviews,"Williamsburg, Brooklyn"
"Creative Hub! Private, Unique, Fun!",67,Private room,15 reviews,"Bushwick, Brooklyn"
Cozy BK home with HUGE private yard,296,Entire home/apt,4 reviews,Brooklyn
Lovely private studio apartment!,73,Entire home/apt,6 reviews,"Boerum Hill, Brooklyn"
Spacious Loft 5 min to Union Square,157,Private room,72 reviews,"Williamsburg, Brooklyn"
"Great studio, Fort Greene, Brooklyn",163,Entire home/apt,7 reviews,"Fort Greene, Brooklyn"
Peaceful Sanctuary in Trendy Hood,145,Entire home/apt,11 reviews,"Crown Heights, Brooklyn"
Designer's apartment in Vinegar Hil,145,Private room,17 reviews,"Vinegar Hill, Brooklyn"
Lovely Guestroom in Brownstone,79,Private room,7 reviews,"Crown Heights, Brooklyn"
IDEALLY LOCATED - WHOLE APARTMENT,157,Entire home/apt,40 reviews,"Boerum Hill, Brooklyn"
Private room25 min from time square,42,Private room,2 reviews,Brooklyn
Private Room in WBerg Flat 4C,109,Private room,15 reviews,"Williamsburg, Brooklyn"
Fully Furnished Brooklyn Apartment,103,Entire home/apt,0 reviews,Brooklyn
A Luxury room in new WBerg Loft,121,Private room,12 reviews,Brooklyn
